operadora;localidade;UF;data;TOTAL_DE_CHAMADAS;PERDAS_OI_ABS;PERDAS_OI
Telefônica;ILHABELA;SP;2015-06-22;668;18;2,69
Embratel;BOTUCATU;SP;2015-06-22;666;15;2,25
OI Fixa;SIMOES FILHO;BA;2015-06-22;664;28;4,22
BrT Fixa;SAO LEOPOLDO;RS;2015-06-22;664;20;3,01
Telefônica;ILHA SOLTEIRA;SP;2015-06-22;664;19;2,86
OI Fixa;CANDEIAS;BA;2015-06-22;662;47;7,1
GVT;FAZENDA RIO GRANDE;PR;2015-06-22;661;13;1,97
Telefônica;VARGEM GRANDE PAULISTA;SP;2015-06-22;658;26;3,95
OI Fixa;RIO BONITO;RJ;2015-06-22;658;36;5,47
BrT Fixa;CAMPO NOVO DO PARECIS;MT;2015-06-22;658;50;7,6
GVT;GUARA;DF;2015-06-22;656;54;8,23
GVT;PARANAVAI;PR;2015-06-22;656;104;15,85
Telefônica;JAGUARIUNA;SP;2015-06-22;654;72;11,01
Telefônica;SALTO DE PIRAPORA;SP;2015-06-22;652;72;11,04
Telefônica;CABREUVA;SP;2015-06-22;650;14;2,15
Embratel;CUIABA;MT;2015-06-22;649;114;17,57
Embratel;NITEROI;RJ;2015-06-22;648;15;2,31
OI Fixa;JABOATAO DOS GUARARAPES;PE;2015-06-22;646;4;0,62
BrT Fixa;CRUZEIRO DO SUL;AC;2015-06-22;643;20;3,11
Embratel;BRAGANCA PAULISTA;SP;2015-06-22;641;26;4,06
Embratel;MAUA;SP;2015-06-22;640;27;4,22
OI Fixa;REDENCAO;PA;2015-06-22;637;33;5,18
Telefônica;MONTE ALTO;SP;2015-06-22;635;17;2,68
Telefônica;VOTORANTIM;SP;2015-06-22;634;84;13,25
OI Fixa;ACAILANDIA;MA;2015-06-22;632;70;11,08
BrT Fixa;ARAUCARIA;PR;2015-06-22;630;6;0,95
BrT Fixa;GUARAMIRIM;SC;2015-06-22;630;7;1,11
BrT Fixa;FLORIANOPOLIS;SC;2015-06-22;628;11;1,75
OI Fixa;SANTO AMARO;BA;2015-06-22;628;27;4,3
OI Fixa;PIRAPORA;MG;2015-06-22;626;26;4,15
BrT Fixa;GUARANTA DO NORTE;MT;2015-06-22;625;83;13,28
OI Fixa;PALMEIRAS;BA;2015-06-22;623;2;0,32
OI Fixa;MATA DE SAO JOAO;BA;2015-06-22;623;18;2,89
OI Fixa;JACOBINA;BA;2015-06-22;622;28;4,5
Embratel;SALVADOR;BA;2015-06-22;621;25;4,03
Telefônica;PORTO FELIZ;SP;2015-06-22;619;34;5,49
BrT Fixa;LAJEADO;RS;2015-06-22;616;72;11,69
Embratel;FORTALEZA;CE;2015-06-22;615;5;0,81
Embratel;FRANCA;SP;2015-06-22;615;14;2,28
BrT Fixa;SAMAMBAIA;DF;2015-06-22;613;41;6,69
Telefônica;PROMISSAO;SP;2015-06-22;612;18;2,94
Telefônica;COSMOPOLIS;SP;2015-06-22;611;39;6,38
OI Fixa;ARCOS;MG;2015-06-22;609;10;1,64
Embratel;LIMEIRA;SP;2015-06-22;609;15;2,46
GVT;FRANCISCO BELTRAO;PR;2015-06-22;605;2;0,33
Telefônica;JARINU;SP;2015-06-22;605;19;3,14
BrT Fixa;SENADOR CANEDO;GO;2015-06-22;599;17;2,84
GVT;CACHOEIRINHA;RS;2015-06-22;598;4;0,67
Embratel;PINDAMONHANGABA;SP;2015-06-22;595;21;3,53
BrT Fixa;AGUA BOA;MT;2015-06-22;595;48;8,07
Telefônica;JUQUITIBA;SP;2015-06-22;594;61;10,27
OI Fixa;ARMACAO DOS BUZIOS;RJ;2015-06-22;594;23;3,87
Algar Telecom;BATATAIS;SP;2015-06-22;592;26;4,39
OI Fixa;JANAUBA;MG;2015-06-22;589;8;1,36
Telefônica;PEDREIRA;SP;2015-06-22;589;49;8,32
Algar Telecom;JARDINOPOLIS;SP;2015-06-22;589;4;0,68
Embratel;ATIBAIA;SP;2015-06-22;588;39;6,63
Embratel;RESENDE;RJ;2015-06-22;587;24;4,09
GVT;SAMAMBAIA;DF;2015-06-22;586;35;5,97
Telefônica;PEDERNEIRAS;SP;2015-06-22;586;20;3,41
OI Fixa;ITABERABA;BA;2015-06-22;586;26;4,44
OI Fixa;PARNAIBA;PI;2015-06-22;585;6;1,03
BrT Fixa;JUINA;MT;2015-06-22;584;35;5,99
OI Fixa;ALMENARA;MG;2015-06-22;583;22;3,77
Telefônica;ESPIRITO SANTO DO PINHAL;SP;2015-06-22;578;27;4,67
BrT Fixa;SAO SEBASTIAO;DF;2015-06-22;577;13;2,25
OI Fixa;MONTE CARMELO;MG;2015-06-22;576;14;2,43
OI Fixa;BOM JESUS DA LAPA;BA;2015-06-22;575;50;8,7
BrT Fixa;VIAMAO;RS;2015-06-22;573;20;3,49
Embratel;PRAIA GRANDE;SP;2015-06-22;572;36;6,29
Telefônica;ARACARIGUAMA;SP;2015-06-22;571;13;2,28
BrT Fixa;VACARIA;RS;2015-06-22;571;3;0,53
Telefônica;SOCORRO;SP;2015-06-22;570;12;2,11
OI Fixa;CACHOEIRA;BA;2015-06-22;568;19;3,35
Telefônica;CERQUILHO;SP;2015-06-22;568;54;9,51
